x,u
-10,40.648
-9.8,47.4306
-9.6,52.3488
-9.4,55.7545
-9.2,57.936
-9,59.1294
-8.8,59.5279
-8.6,59.2899
-8.4,58.5452
-8.2,57.3998
-8,55.9409
-7.8,54.2396
-7.6,52.3542
-7.4,50.3327
-7.2,48.214
-7,46.0303
-6.8,43.8078
-6.6,41.568
-6.4,39.3286
-6.2,37.1039
-6,34.9057
-5.8,32.7438
-5.6,30.626
-5.4,28.5588
-5.2,26.5476
-5,24.5968
-4.8,22.7097
-4.6,20.8895
-4.4,19.1385
-4.2,17.4586
-4,15.8514
-3.8,14.3183
-3.6,12.8603
-3.4,11.4783
-3.2,10.1731
-3,8.9452
-2.8,7.7951
-2.6,6.72321
-2.4,5.72984
-2.2,4.81527
-2,3.97971
-1.8,3.22333
-1.6,2.54629
-1.4,1.9487
-1.2,1.43066
-1,0.992244
-0.8,0.633518
-0.6,0.354534
-0.4,0.15533
-0.2,0.0359402
0,-0.00361234
0.2,0.0366907
0.4,0.156861
0.6,0.356906
0.8,0.636828
1,0.996622
1.2,1.43628
1.4,1.95579
1.6,2.55513
1.8,3.23428
2,3.9932
2.2,4.83185
2.4,5.75017
2.6,6.7481
2.8,7.82555
3,8.98242
3.2,10.2186
3.4,11.5339
3.6,12.9282
3.8,14.4012
4,15.9526
4.2,17.5822
4.4,19.2894
4.6,21.0738
4.8,22.9348
5,24.8715
5.2,26.8832
5.4,28.9685
5.6,31.1262
5.8,33.3545
6,35.6514
6.2,38.0144
6.4,40.4403
6.6,42.9255
6.8,45.4653
7,48.054
7.2,50.685
7.4,53.3497
7.6,56.0381
7.8,58.7375
8,61.4329
8.2,64.1056
8.4,66.7329
8.6,69.2871
8.8,71.7344
9,74.0334
9.2,76.1338
9.4,77.974
9.6,79.4787
9.8,80.5562
10,81.0943
